# BUSCO version is: 5.6.1 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Missing
9601at2	Fragmented	contig	213259	210779	-	233.9	495	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Fragmented	contig	641977	643626	+	123.1	147	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Fragmented	contig	942383	939870	-	333.4	418	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Missing
143460at2	Missing
182107at2	Missing
219876at2	Missing
223233at2	Fragmented	contig	676780	675839	-	32.0	100	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Missing
232152at2	Missing
267682at2	Fragmented	contig	501139	500441	-	180.7	171	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Missing
384865at2	Missing
402899at2	Fragmented	contig	682594	681791	-	71.9	92	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Fragmented	contig	1154563	1155516	+	383.7	223	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Fragmented	contig	427359	428087	+	81.6	105	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Fragmented	contig	946049	947701	+	162.3	196	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Fragmented	contig	286200	285412	-	93.8	99	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Missing
533698at2	Fragmented	contig	140352	139546	-	172.3	169	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Missing
665824at2	Missing
761140at2	Fragmented	contig	570797	570519	-	42.7	57	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	contig	1407799	1412616	+	299.2	421	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Fragmented	contig	527516	526107	-	571.4	346	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Fragmented	contig	2413769	2414473	+	34.3	68	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Missing
923547at2	Complete	contig	220891	219089	-	360.1	304	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Missing
932993at2	Missing
961486at2	Missing
981870at2	Fragmented	contig	220650	221564	+	120.5	114	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Missing
1009041at2	Missing
1024388at2	Fragmented	contig	536342	535350	-	304.5	251	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Missing
1043239at2	Missing
1049662at2	Fragmented	contig	526866	528848	+	290.3	333	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Missing
1069591at2	Fragmented	contig	126274	127635	+	67.6	143	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Fragmented	contig	81422	80796	-	25.2	83	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Missing
1093223at2	Missing
1132353at2	Missing
1151822at2	Missing
1166299at2	Fragmented	contig	2516707	2516051	-	56.2	81	https://v10-1.orthodb.org/?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Fragmented	contig	212430	212729	+	43.4	36	https://v10-1.orthodb.org/?query=1211060at2	RNA-binding S4 domain
1257362at2	Missing
1266295at2	Fragmented	contig	302986	302510	-	77.9	99	https://v10-1.orthodb.org/?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	contig	53116	52280	-	109.4	134	https://v10-1.orthodb.org/?query=1270636at2	Ribosomal protein L3
1272633at2	Missing
1346419at2	Fragmented	contig	44506	45036	+	50.8	82	https://v10-1.orthodb.org/?query=1346419at2	Flavoprotein
1395197at2	Missing
1398618at2	Missing
1419877at2	Fragmented	contig	1575619	1576860	+	100.0	185	https://v10-1.orthodb.org/?query=1419877at2	glycerol-3-phosphate dehydrogenase
